,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
0,b128,0,45.0,0,Capomulin,Female,9,22
1,b128,5,45.7,0,Capomulin,Female,9,22
2,b128,10,43.3,0,Capomulin,Female,9,22
3,b128,15,43.8,0,Capomulin,Female,9,22
4,b128,20,42.7,0,Capomulin,Female,9,22
5,b128,25,43.3,1,Capomulin,Female,9,22
6,b128,30,40.6,1,Capomulin,Female,9,22
7,b128,35,38.0,1,Capomulin,Female,9,22
8,b128,40,38.4,2,Capomulin,Female,9,22
9,b128,45,39.0,2,Capomulin,Female,9,22
213,c326,0,45.0,0,Infubinol,Female,18,25
214,c326,5,36.3,0,Infubinol,Female,18,25
215,c139,0,45.0,0,Infubinol,Male,11,28
216,c139,5,48.8,0,Infubinol,Male,11,28
217,c139,10,50.0,0,Infubinol,Male,11,28
218,c139,15,51.8,0,Infubinol,Male,11,28
219,c139,20,56.7,0,Infubinol,Male,11,28
220,c139,25,61.5,0,Infubinol,Male,11,28
221,c139,30,64.1,1,Infubinol,Male,11,28
222,c139,35,67.8,1,Infubinol,Male,11,28
223,c139,40,69.4,2,Infubinol,Male,11,28
224,c139,45,72.2,2,Infubinol,Male,11,28
225,v339,0,45.0,0,Infubinol,Male,20,26
226,v339,5,46.3,0,Infubinol,Male,20,26
227,a577,0,45.0,0,Infubinol,Female,6,25
228,a577,5,46.2,1,Infubinol,Female,6,25
229,a577,10,49.5,1,Infubinol,Female,6,25
230,a577,15,50.9,2,Infubinol,Female,6,25
231,a577,20,52.4,2,Infubinol,Female,6,25
232,a577,25,54.4,2,Infubinol,Female,6,25
233,a577,30,57.0,2,Infubinol,Female,6,25
234,y163,0,45.0,0,Infubinol,Female,17,27
235,y163,5,48.3,0,Infubinol,Female,17,27
236,y163,10,49.1,1,Infubinol,Female,17,27
237,y163,15,51.5,1,Infubinol,Female,17,27
238,y163,20,54.6,1,Infubinol,Female,17,27
239,y163,25,56.2,1,Infubinol,Female,17,27
240,y163,30,59.4,2,Infubinol,Female,17,27
241,y163,35,61.7,2,Infubinol,Female,17,27
242,y163,40,63.6,2,Infubinol,Female,17,27
243,y163,45,67.7,3,Infubinol,Female,17,27
244,k483,0,45.0,0,Infubinol,Female,20,30
245,k483,5,46.6,0,Infubinol,Female,20,30
246,k483,10,50.3,1,Infubinol,Female,20,30
247,k483,15,53.2,1,Infubinol,Female,20,30
248,k483,20,54.8,1,Infubinol,Female,20,30
249,k483,25,57.4,2,Infubinol,Female,20,30
250,k483,30,59.7,2,Infubinol,Female,20,30
251,k483,35,60.5,2,Infubinol,Female,20,30
252,k483,40,64.1,3,Infubinol,Female,20,30
253,k483,45,66.2,3,Infubinol,Female,20,30
254,k804,0,45.0,0,Infubinol,Female,23,29
255,k804,5,48.3,0,Infubinol,Female,23,29
256,k804,10,49.5,0,Infubinol,Female,23,29
257,k804,15,50.5,0,Infubinol,Female,23,29
258,k804,20,54.5,0,Infubinol,Female,23,29
259,k804,25,55.7,1,Infubinol,Female,23,29
260,k804,30,59.2,2,Infubinol,Female,23,29
261,k804,35,62.1,2,Infubinol,Female,23,29
262,o809,0,45.0,0,Infubinol,Male,3,25
263,o809,5,46.9,0,Infubinol,Male,3,25
264,o809,10,48.7,0,Infubinol,Male,3,25
265,o809,15,49.7,1,Infubinol,Male,3,25
266,o809,20,50.3,1,Infubinol,Male,3,25
267,o809,25,52.3,1,Infubinol,Male,3,25
268,o809,30,54.8,1,Infubinol,Male,3,25
269,o809,35,55.6,1,Infubinol,Male,3,25
270,z581,0,45.0,0,Infubinol,Female,24,25
271,z581,5,49.3,1,Infubinol,Female,24,25
272,z581,10,50.5,2,Infubinol,Female,24,25
273,z581,15,51.2,2,Infubinol,Female,24,25
274,z581,20,51.8,2,Infubinol,Female,24,25
275,z581,25,54.3,2,Infubinol,Female,24,25
276,z581,30,56.3,2,Infubinol,Female,24,25
277,z581,35,58.6,3,Infubinol,Female,24,25
278,z581,40,60.1,3,Infubinol,Female,24,25
279,z581,45,62.8,3,Infubinol,Female,24,25
280,a251,0,45.0,0,Infubinol,Female,21,25
281,a251,5,47.0,0,Infubinol,Female,21,25
282,a251,10,48.6,1,Infubinol,Female,21,25
283,a251,15,50.5,1,Infubinol,Female,21,25
284,a251,20,54.5,1,Infubinol,Female,21,25
285,a251,25,57.4,1,Infubinol,Female,21,25
286,a251,30,59.9,1,Infubinol,Female,21,25
287,a251,35,60.9,1,Infubinol,Female,21,25
288,a251,40,63.1,1,Infubinol,Female,21,25
289,a251,45,65.5,1,Infubinol,Female,21,25
290,i386,0,45.0,0,Infubinol,Female,23,29
291,i386,5,46.9,1,Infubinol,Female,23,29
292,i386,10,49.9,2,Infubinol,Female,23,29
293,i386,15,51.7,2,Infubinol,Female,23,29
294,i386,20,55.1,2,Infubinol,Female,23,29
295,i386,25,56.7,3,Infubinol,Female,23,29
296,i386,30,59.1,3,Infubinol,Female,23,29
297,i386,35,64.9,3,Infubinol,Female,23,29
298,i386,40,67.3,4,Infubinol,Female,23,29
306,q132,0,45.0,0,Infubinol,Female,1,30
307,q132,5,46.7,1,Infubinol,Female,1,30
308,q132,10,48.0,2,Infubinol,Female,1,30
309,q132,15,49.2,3,Infubinol,Female,1,30
310,q132,20,51.9,4,Infubinol,Female,1,30
311,q132,25,52.8,4,Infubinol,Female,1,30
312,q132,30,54.7,4,Infubinol,Female,1,30
436,c458,0,45.0,0,Ramicane,Female,23,20
437,c458,5,45.7,0,Ramicane,Female,23,20
438,c458,10,44.5,1,Ramicane,Female,23,20
439,c458,15,45.1,2,Ramicane,Female,23,20
440,c458,20,39.5,2,Ramicane,Female,23,20
441,c458,25,37.8,2,Ramicane,Female,23,20
442,c458,30,38.3,2,Ramicane,Female,23,20
443,q610,0,45.0,0,Ramicane,Female,18,21
444,q610,5,45.6,0,Ramicane,Female,18,21
445,q610,10,45.0,0,Ramicane,Female,18,21
446,q610,15,45.9,0,Ramicane,Female,18,21
447,q610,20,46.6,0,Ramicane,Female,18,21
448,q610,25,40.1,0,Ramicane,Female,18,21
449,q610,30,40.7,1,Ramicane,Female,18,21
450,q610,35,36.6,2,Ramicane,Female,18,21
451,j913,0,45.0,0,Ramicane,Female,4,17
452,j913,5,44.0,0,Ramicane,Female,4,17
453,j913,10,44.5,0,Ramicane,Female,4,17
454,j913,15,45.3,0,Ramicane,Female,4,17
455,j913,20,42.2,0,Ramicane,Female,4,17
456,j913,25,37.9,0,Ramicane,Female,4,17
457,j913,30,34.8,0,Ramicane,Female,4,17
458,j913,35,35.2,0,Ramicane,Female,4,17
459,j913,40,31.0,1,Ramicane,Female,4,17
460,j913,45,31.6,1,Ramicane,Female,4,17
461,a411,0,45.0,0,Ramicane,Male,3,22
462,a411,5,45.5,0,Ramicane,Male,3,22
463,a411,10,40.8,1,Ramicane,Male,3,22
464,a411,15,41.5,1,Ramicane,Male,3,22
465,a411,20,38.1,1,Ramicane,Male,3,22
466,a411,25,38.7,1,Ramicane,Male,3,22
467,a411,30,39.1,1,Ramicane,Male,3,22
468,a411,35,39.7,1,Ramicane,Male,3,22
469,a411,40,40.3,1,Ramicane,Male,3,22
470,a411,45,38.4,1,Ramicane,Male,3,22
471,a444,0,45.0,0,Ramicane,Female,10,25
472,a444,5,44.0,0,Ramicane,Female,10,25
473,a444,10,44.5,0,Ramicane,Female,10,25
474,a444,15,43.0,0,Ramicane,Female,10,25
475,a444,20,41.7,0,Ramicane,Female,10,25
476,a444,25,42.3,0,Ramicane,Female,10,25
477,a444,30,42.8,0,Ramicane,Female,10,25
478,a444,35,41.7,0,Ramicane,Female,10,25
479,a444,40,42.5,0,Ramicane,Female,10,25
480,a444,45,43.0,0,Ramicane,Female,10,25
481,d251,0,45.0,0,Ramicane,Female,8,19
482,d251,5,41.7,1,Ramicane,Female,8,19
483,d251,10,42.4,1,Ramicane,Female,8,19
484,d251,15,39.5,1,Ramicane,Female,8,19
485,d251,20,37.7,1,Ramicane,Female,8,19
486,d251,25,38.1,1,Ramicane,Female,8,19
487,d251,30,38.7,2,Ramicane,Female,8,19
488,d251,35,37.7,2,Ramicane,Female,8,19
489,d251,40,38.3,2,Ramicane,Female,8,19
